character_slug,title,requirement,sort_order
mejiro-bright-brunissage-line,Stress-Free Stayer,Earn a total of at least 240000 fans,3
nishino-flower-tiered-petal,Little Miss Prodigy,Inherit memories from a parent that did not win any G1 races,1
nishino-flower-tiered-petal,Little Miss Prodigy,"Win the Hanshin Juvenile Fillies, Oka Sho and Sprinters Stakes twice",2
nishino-flower-tiered-petal,Little Miss Prodigy,Earn a total of 100000 fans within the Classic class,3
yaeno-muteki-attack-of-the-four-white-meteors,Will of Steel,Win the Satsuki Sho without having won any other turf G1s before,1
yaeno-muteki-attack-of-the-four-white-meteors,Will of Steel,"Win the Osaka Hai, Yasuda Kinen, Takarazuka Kinen, [[race|102301|3]]",2
yaeno-muteki-attack-of-the-four-white-meteors,Will of Steel,Reach 1200 or more Power,3
ines-fujin-all-time-fever,God of Wind,"Win the Asahi Hai Futurity Stakes, Satsuki Sho, Tokyo Yushun (Japanese Derby) and [[race|101901|3]] as a Front Runner",1
ines-fujin-all-time-fever,God of Wind,Reach 1200 or more Speed,2
ines-fujin-all-time-fever,God of Wind,Reach 1200 or more Guts,3
mejiro-palmer-line-breakthrough,Stormy Front Runner,Raise your Front Runner aptitude to S,1
mejiro-palmer-line-breakthrough,Stormy Front Runner,Win a G1 as a Front Runner while being 4th most popular or worse,2
mejiro-palmer-line-breakthrough,Stormy Front Runner,"Win the Tenno Sho (Spring), [[race|101201|3]], [[race|102301|3]] as a Front Runner",3
inari-one-inari-yukari-edomurasaki,Warlord from Oi,"Win 4 G1 races on both turf and dirt terrain, including winning the Tokyo Daishoten, [[race|101201|3]] as a Pace Chaser and winning the Tenno Sho (Spring), Arima Kinen as a Late Surger or End Closer",1
inari-one-fields-of-gold,Warlord from Oi,"Win 4 G1 races on both turf and dirt terrain, including winning the Tokyo Daishoten, [[race|101201|3]] as a Pace Chaser and winning the Tenno Sho (Spring), Arima Kinen as a Late Surger or End Closer",1
sweep-tosho-platanus-witch,Pouty Witch,Win the Tulip Sho and Shuka Sho as a End Closer,1
sweep-tosho-platanus-witch,Pouty Witch,"Win the [[race|101201|3]], [[race|101701|3]] and [[race|102301|3]] as a Late Surger or End Closer",2
air-shakur-unsigned,Barrier-Breaking Genius,"Win the Satsuki Sho, Tokyo Yushun (Japanese Derby), and Kikuka Sho",1
air-shakur-unsigned,Barrier-Breaking Genius,"Win the Tenno Sho (Spring), [[race|101201|3]], [[race|101601|3]] and [[race|102301|3]]",2
air-shakur-unsigned,Barrier-Breaking Genius,Reach 1200 or more Wisdom,3
bamboo-memory-ambition-of-the-black-iron,Embodiment of Dreams,Participate in at least 23 graded races,1
bamboo-memory-ambition-of-the-black-iron,Embodiment of Dreams,Win the [[race|101101|3]],2
bamboo-memory-ambition-of-the-black-iron,Embodiment of Dreams,Win the Takarazuka Kinen,3
bamboo-memory-ambition-of-the-black-iron,Embodiment of Dreams,Win the Sprinters Stakes,4
bamboo-memory-ambition-of-the-black-iron,Embodiment of Dreams,Win the Mile Championship,5
copano-rickey-yin-yang-bagua-lucky-costume,Talisman of Victory,Win 11 or more dirt G1s,1
copano-rickey-yin-yang-bagua-lucky-costume,Talisman of Victory,Have a Mood level of Perfect in all races,2
copano-rickey-yin-yang-bagua-lucky-costume,Talisman of Victory,Complete the Career,3
yukino-bijin-cute-sweet-flower-of-mutsu,Iwate's Natural Beauty,Win a graded race held in Morioka,1
yukino-bijin-cute-sweet-flower-of-mutsu,Iwate's Natural Beauty,"Win the Oka Sho, Japanese Oaks and Shuka Sho",2
yukino-bijin-cute-sweet-flower-of-mutsu,Iwate's Natural Beauty,Earn a total of at least 320000 fans,3
seeking-the-pearl-rocket-star,Twinkling Pearl,Win the Oka Sho,1
seeking-the-pearl-rocket-star,Twinkling Pearl,Win the NHK Mile Cup,2
seeking-the-pearl-rocket-star,Twinkling Pearl,Win the Japanese Oaks,3
seeking-the-pearl-rocket-star,Twinkling Pearl,Win the Shuka Sho,4
seeking-the-pearl-rocket-star,Twinkling Pearl,Win the Takamatsunomiya Kinen,5
seeking-the-pearl-rocket-star,Twinkling Pearl,Win the [[race|101301|3]],6
aston-machan-flare,Undying Machan,Win the Sprinters Stakes,1
aston-machan-flare,Undying Machan,Win at least twice against both [[character|1009]] and [[character|1008]],2
aston-machan-flare,Undying Machan,Earn a total of at least 320000 fans and complete the Career having cleared all objectives,3
yamanin-zephyr-fluttertail-spirit,Wind Incarnate,Win the Yasuda Kinen twice,1
yamanin-zephyr-fluttertail-spirit,Wind Incarnate,Win the Sprinters Stakes,2
yamanin-zephyr-fluttertail-spirit,Wind Incarnate,Win the [[race|101201|3]],3
yamanin-zephyr-fluttertail-spirit,Wind Incarnate,Reach 1200 or more Speed,4
nakayama-festa-dramatic-turnabout,Trueborn Gambler,Win both the Takarazuka Kinen and the [[race|101901|3]],1
nakayama-festa-dramatic-turnabout,Trueborn Gambler,Succeed a training that has a failure rate of at least 30%,2
nakayama-festa-dramatic-turnabout,Trueborn Gambler,Never fail a training during the entire run,3
nakayama-festa-dramatic-turnabout,Trueborn Gambler,Complete the Career,4
wonder-acute,Stalwart Silver,Win the [[race|110601|2]],1
wonder-acute,Stalwart Silver,Win the Kashiwa Kinen,2
wonder-acute,Stalwart Silver,Win the Teio Sho,3
wonder-acute,Stalwart Silver,Win the [[race|110501|3]],4
wonder-acute,Stalwart Silver,Reach 1200 or more Guts,5
zenno-rob-roy,Grand Hero,"Win the [[race|101601|3]], [[race|101901|3]] and [[race|102301|3]], all while being the most popular",1
zenno-rob-roy,Grand Hero,Earn a total of at least 320000 fans,2
hokko-tarumae,Star of Tomakomai,Win at least 10 dirt G1 races,1
hokko-tarumae,Star of Tomakomai,Earn a total of at least 320000 fans,2
daitaku-helios,Major Vibes Party Girl,Win the Milers Cup,1
daitaku-helios,Major Vibes Party Girl,Win the Mile Championship twice,2
daitaku-helios,Major Vibes Party Girl,Have a Mood level of Perfect in all races,3
daitaku-helios,Major Vibes Party Girl,Reach 1200 or more Power,4
daitaku-helios,Major Vibes Party Girl,Complete the Career,5
shinko-windy,Bitey Prankster Girl,Win the February Stakes,1
shinko-windy,Bitey Prankster Girl,Win two or more races in which you were rushing,2
shinko-windy,Bitey Prankster Girl,Reach 1200 or more Power,3
twin-turbo,Turbo Escape Girl,"Use the ""Great Escape"" strategy in the [[race|102301|3]] and stay in first place from 200m since the start until the end and win the race",1
twin-turbo,Turbo Escape Girl,Reach 1200 or more Speed,2
mr-c-b,Director of the Turf,Win the Satsuki Sho and Tokyo Yushun (Japanese Derby) as a End Closer,1
mr-c-b,Director of the Turf,Win the Kikuka Sho as a End Closer with a lead of at least 3 horse lengths,2
mr-c-b,Director of the Turf,Earn a total of at least 320000 fans,3
daiichi-ruby,Brilliant Young Lady,Inherit memories from parents that won the Oka Sho and Queen Elizabeth II Cup,1
daiichi-ruby,Brilliant Young Lady,Win the [[race|101101|3]],2
daiichi-ruby,Brilliant Young Lady,Win the [[race|101301|3]],3
symboli-kris-s,Jet-Black Emperor,Win the Tenno Sho (Autumn),1
symboli-kris-s,Jet-Black Emperor,Win the [[race|102301|2]],2
symboli-kris-s,Jet-Black Emperor,Win the [[race|102301|3]] with a lead of at least 9 horse lengths,3
symboli-kris-s,Jet-Black Emperor,Reach 1200 or more Power,4
sakura-laurel,Late-Blooming Cherry Blossom,Win the Tenno Sho (Spring) with a lead of at least 2.5 horse lengths,1
sakura-laurel,Late-Blooming Cherry Blossom,Win the [[race|102301|3]],2
sakura-laurel,Late-Blooming Cherry Blossom,Reach 1200 or more Stamina,3
neo-universe,Cosmicverse,Win the Satsuki Sho,1
neo-universe,Cosmicverse,Win the Tokyo Yushun (Japanese Derby),2
neo-universe,Cosmicverse,Win the [[race|101201|2]],3
neo-universe,Cosmicverse,Win the Kikuka Sho,4
neo-universe,Cosmicverse,Win the [[race|101901|2]],5
neo-universe,Cosmicverse,Win the Osaka Hai,6
neo-universe,Cosmicverse,Win the Tenno Sho (Spring),7
neo-universe,Cosmicverse,Reach 1200 or more Wisdom,8
hishi-miracle,Laid-back Soothing Horsegirl,Win the Kikuka Sho,1
hishi-miracle,Laid-back Soothing Horsegirl,Win the Tenno Sho (Spring),2
hishi-miracle,Laid-back Soothing Horsegirl,Win the [[race|101201|3]],3
hishi-miracle,Laid-back Soothing Horsegirl,Rest at least 7 times during the Career,4
hishi-miracle,Laid-back Soothing Horsegirl,Complete the Career without the Night Owl condition,5
tanino-gimlet,God of Aesthetic Destruction,"Win the Satsuki Sho, NHK Mile Cup and Tokyo Yushun (Japanese Derby) as a End Closer while being undefeated",1
tanino-gimlet,God of Aesthetic Destruction,Reach 1200 or more Power,2
marvelous-sunday,Preacher of Marvelous,Win the Osaka Hai,1
marvelous-sunday,Preacher of Marvelous,Win the [[race|101201|3]],2
marvelous-sunday,Preacher of Marvelous,Have a Mood level of Perfect for all races,3
marvelous-sunday,Preacher of Marvelous,Earn a total of at least 240000 fans,4
marvelous-sunday,Preacher of Marvelous,Complete the Career,5
katsuragi-ace,The World-Reigning Ace,Win the [[race|101601|3]],1
katsuragi-ace,The World-Reigning Ace,Win the [[race|101901|3]],2
katsuragi-ace,The World-Reigning Ace,Win the [[race|102301|3]] having the [[skill|202051]] skill,3
katsuragi-ace,The World-Reigning Ace,Earn a total of at least 320000 fans,4
sirius-symboli,Alpha Canis Majoris,Win the Tokyo Yushun (Japanese Derby) with a lead of at least 3 horse lengths,1
sirius-symboli,Alpha Canis Majoris,Win against [[character|1017]] at least twice,2
sirius-symboli,Alpha Canis Majoris,Earn a total of at least 320000 fans,3
narita-top-road,Beautiful Stayer,Win 4 G1 races with a length of 2400m or higher,1
narita-top-road,Beautiful Stayer,Raise your Long-distance aptitude to S,2
narita-top-road,Beautiful Stayer,Reach 1200 or more Stamina,3
k-s-miracle,Miracle Worker,Win the Sprinters Stakes,1
k-s-miracle,Miracle Worker,Reach 1200 or more Guts,2
k-s-miracle,Miracle Worker,Reach 1200 or more Speed,3
k-s-miracle,Miracle Worker,Earn a total of at least 320000 fans,4
mejiro-ramonu,Femme Fatale,Win the Oka Sho,1
mejiro-ramonu,Femme Fatale,Win the Japanese Oaks,2
mejiro-ramonu,Femme Fatale,Win the [[race|102301|2]],3
mejiro-ramonu,Femme Fatale,Win the [[race|101701|3]],4
mejiro-ramonu,Femme Fatale,Earn a total of at least 320000 fans,5
tap-dance-city,Dream-Chasing Dancer,Win the [[race|101201|3]] as the most popular,1
tap-dance-city,Dream-Chasing Dancer,Win the [[race|101901|3]] with a lead of at least 9 horse lengths,2
tap-dance-city,Dream-Chasing Dancer,Earn a total of at least 320000 fans,3
satono-crown,Magic Crown,Win the Yayoi Sho while being undefeated and most popular,1
satono-crown,Magic Crown,Win the Satsuki Sho,2
satono-crown,Magic Crown,Win the Tokyo Yushun (Japanese Derby),3
satono-crown,Magic Crown,Win the Osaka Hai,4
satono-crown,Magic Crown,Win the Takarazuka Kinen,5
satono-crown,Magic Crown,Win the Tenno Sho (Autumn),6
satono-crown,Magic Crown,Win the Japan Cup,7
satono-crown,Magic Crown,Reach 1200 or more Power,8
cheval-grand,Grand Horsegirl,Win the [[race|101901|3]],1
cheval-grand,Grand Horsegirl,"Win at least one race against [[character|1090]], [[character|1091]] and [[character|1067]]",2
cheval-grand,Grand Horsegirl,Win at least three races against [[character|1068]] and [[character|1088]],3
vivlos,Impish Horsegirl,Win at least 6 graded races while being the most popular,1
vivlos,Impish Horsegirl,Win the Shuka Sho,2
vivlos,Impish Horsegirl,Win the [[race|101701|3]],3
vivlos,Impish Horsegirl,Win the Victoria Mile,4
vivlos,Impish Horsegirl,Earn a total of at least 320000 fans,5
biko-pegasus,Justice Biko,Win the Sprinters Stakes twice,1
biko-pegasus,Justice Biko,Win the [[race|101801|3]] while being the most popular,2
biko-pegasus,Justice Biko,Win against [[character|1012]] at least 2 times,3
biko-pegasus,Justice Biko,Win against [[character|1028]] at least 2 times,4
ikuno-dictus,Iron Woman,Participate in at least 30 graded races,1
ikuno-dictus,Iron Woman,Win the [[race|101101|3]],2
ikuno-dictus,Iron Woman,Win the [[race|101201|3]],3
ikuno-dictus,Iron Woman,Reach 1200 or more Guts,4
duramente,Embodiment of Strength,Inherit memories from an S-rank or higher parent,1
duramente,Embodiment of Strength,"Win at least 7 G1 races, including the Satsuki Sho and Tokyo Yushun (Japanese Derby)",2
duramente,Embodiment of Strength,Win against [[character|1088]] at least 3 times,3
duramente,Embodiment of Strength,Win against [[character|1068]] at least 3 times,4
transcend,Pursuer of the Unknown,Win the Champions Cup twice,1
transcend,Pursuer of the Unknown,Win the Leopard Stakes,2
transcend,Pursuer of the Unknown,Win the Miyako Stakes,3
transcend,Pursuer of the Unknown,Win the February Stakes,4
transcend,Pursuer of the Unknown,Win the M.C. Nambu Hai,5
transcend,Pursuer of the Unknown,Win the JBC Classic,6
transcend,Pursuer of the Unknown,Reach 1200 or more Wisdom,7
rhein-kraft,Budding Pioneer,Win the Oka Sho,1
rhein-kraft,Budding Pioneer,Win the NHK Mile Cup,2
rhein-kraft,Budding Pioneer,Win the [[race|101701|3]],3
rhein-kraft,Budding Pioneer,Reach 1200 or more Guts,4
sounds-of-earth,Passionate Artist,Win the Arima Kinen twice,1
sounds-of-earth,Passionate Artist,Win the Kikuka Sho,2
sounds-of-earth,Passionate Artist,Win the [[race|101901|3]],3
sounds-of-earth,Passionate Artist,Earn a total of at least 320000 fans,4
north-flight,Sparkling Fu-chan,Win the [[race|202801|2]],1
north-flight,Sparkling Fu-chan,Win the Shuka Sho,2
north-flight,Sparkling Fu-chan,Win the Milers Cup,3
north-flight,Sparkling Fu-chan,Win the [[race|101101|3]],4
north-flight,Sparkling Fu-chan,Win the [[race|101801|3]],5
north-flight,Sparkling Fu-chan,Reach 1200 or more Speed,6
jungle-pocket,Strongest Howling Horsegirl,Win the Tokyo Yushun (Japanese Derby),1
jungle-pocket,Strongest Howling Horsegirl,Win the Japan Cup twice,2
jungle-pocket,Strongest Howling Horsegirl,Place higher than Agnes Tachyon 2 times,3
jungle-pocket,Strongest Howling Horsegirl,Place higher than Dantsu Flame 2 times,4
jungle-pocket,Strongest Howling Horsegirl,Place higher than Manhattan Cafe 2 times,5
jungle-pocket,Strongest Howling Horsegirl,Place higher than Narita Top Road 2 times,6
dream-journey,Witness of the Journey's End,Win the Kikuka Sho,1
dream-journey,Witness of the Journey's End,Win the [[race|101201|3]],2
dream-journey,Witness of the Journey's End,Win the [[race|102301|3]],3
dream-journey,Witness of the Journey's End,Reach 1200 or more Wisdom,4
calstone-light-o,Divine Speed Dragster,"Win at least 9 graded short-distance races as a Front Runner, including winning the Ibis Summer Dash twice as well as winning the Sprinters Stakes with a lead of at least 4 horse lengths",1
gentildonna,Unshakeable Lady,Win the Oka Sho,1
gentildonna,Unshakeable Lady,Win the Japanese Oaks with a lead of at least 5 horse lengths,2
gentildonna,Unshakeable Lady,Win the Shuka Sho,3
gentildonna,Unshakeable Lady,Win the Japan Cup twice,4
gentildonna,Unshakeable Lady,Reach 1200 or more Power,5
cesario,Beauty from Venus,Inherit memories from a parent that won the Japan Cup,1
cesario,Beauty from Venus,Win the Oka Sho,2
cesario,Beauty from Venus,Win the Japanese Oaks,3
cesario,Beauty from Venus,Win the Shuka Sho,4
cesario,Beauty from Venus,Win the Japan Cup,5
cesario,Beauty from Venus,Reach 1200 or more Speed,6
durandal,Holy Sword,Win the Sprinters Stakes twice,1
durandal,Holy Sword,Win the Mile Championship twice,2
durandal,Holy Sword,Win against Believe at least 3 times,3
durandal,Holy Sword,Win against [[character|1120]] at least 3 times,4
durandal,Holy Sword,Reach 1200 or more Power,5
bubble-gum-fellow,Generational Spearhead,Win the Asahi Hai Futurity Stakes,1
bubble-gum-fellow,Generational Spearhead,Win the Satsuki Sho,2
bubble-gum-fellow,Generational Spearhead,Win the Tokyo Yushun (Japanese Derby),3
bubble-gum-fellow,Generational Spearhead,Win the Japan Cup,4
bubble-gum-fellow,Generational Spearhead,Win the Takarazuka Kinen,5
bubble-gum-fellow,Generational Spearhead,Win the Tenno Sho (Autumn) twice,6
bubble-gum-fellow,Generational Spearhead,Reach 1200 or more Wisdom,7
air-messiah,Fulfiller of Destiny,Win the Oka Sho,1
air-messiah,Fulfiller of Destiny,Win the Japanese Oaks,2
air-messiah,Fulfiller of Destiny,Win the Victoria Mile,3
air-messiah,Fulfiller of Destiny,Win the Queen Elizabeth II Cup twice,4
air-messiah,Fulfiller of Destiny,Reach 1200 or more Wisdom,5
win-variation,Indomitable Principal,Win the Satsuki Sho,1
win-variation,Indomitable Principal,Win the Tokyo Yushun (Japanese Derby),2
win-variation,Indomitable Principal,Win the Kikuka Sho,3
win-variation,Indomitable Principal,Win the Tenno Sho (Spring),4
win-variation,Indomitable Principal,Win the [[race|101201|3]],5
win-variation,Indomitable Principal,Win the [[race|102301|3]],6
win-variation,Indomitable Principal,Reach 1200 or more Guts,7
furioso,Hero of Funabashi,"Win at least one G1 race held at the Kawasaki, Ooi and Funabashi racecourses each",1
furioso,Hero of Funabashi,Reach 1200 or more Guts,2
tsurumaru-tsuyoshi,Full-Power Optimistic Tsuyoshi,Inherit memories from a parent that won at least 7 G1 races,1
tsurumaru-tsuyoshi,Full-Power Optimistic Tsuyoshi,Win at least once against [[character|1001]],2
tsurumaru-tsuyoshi,Full-Power Optimistic Tsuyoshi,Win at least once against [[character|1011]],3
tsurumaru-tsuyoshi,Full-Power Optimistic Tsuyoshi,Win at least once against [[character|1014]],4
tsurumaru-tsuyoshi,Full-Power Optimistic Tsuyoshi,Win at least once against [[character|1020]],5
tsurumaru-tsuyoshi,Full-Power Optimistic Tsuyoshi,Win at least once against [[character|1061]],6
orfevre,Golden Tyrant,Win the Satsuki Sho,1
orfevre,Golden Tyrant,Win the Tokyo Yushun (Japanese Derby),2
orfevre,Golden Tyrant,Win the Kikuka Sho,3
orfevre,Golden Tyrant,Win the [[race|101201|3]],4
orfevre,Golden Tyrant,Win the [[race|102301|2]],5
orfevre,Golden Tyrant,Win the [[race|102301|3]] with a lead of at least 8 horse lengths,6
gran-alegria,Absolute Queen of the Mile,"Win at least 5 Mile G1 races, including the Oka Sho, [[race|101101|3]] and Mile Championship",1
gran-alegria,Absolute Queen of the Mile,Reach 1200 or more Power,2
no-reason,Turbulent Conquest,Win the Satsuki Sho as the 2nd most or less popular,1
no-reason,Turbulent Conquest,Enter the Kikuka Sho as the most popular,2
no-reason,Turbulent Conquest,Win the Tokyo Yushun (Japanese Derby),3
no-reason,Turbulent Conquest,Win the [[race|101201|3]],4
no-reason,Turbulent Conquest,Win the [[race|101601|3]],5
no-reason,Turbulent Conquest,Win the [[race|101901|3]],6
fenomeno,Jet-Black Monster,Win the Tenno Sho (Spring),1
fenomeno,Jet-Black Monster,"Win at least 2 races against [[character|1007]], [[character|1116]], [[character|1037]] and [[character|1115]] each",2
verxina,I Won't Give Up the Top,Win the Oka Sho,1
verxina,I Won't Give Up the Top,Win the Japanese Oaks,2
verxina,I Won't Give Up the Top,Win the Shuka Sho,3
verxina,I Won't Give Up the Top,Win the Victoria Mile,4
verxina,I Won't Give Up the Top,Win the Queen Elizabeth II Cup,5
verxina,I Won't Give Up the Top,Win at least 3 races against [[character|1116]],6
verxina,I Won't Give Up the Top,Reach 1200 or more Guts,7
loves-only-you,Spreading Love Through the World,Win the Japanese Oaks,1
loves-only-you,Spreading Love Through the World,Win the Queen Elizabeth II Cup,2
loves-only-you,Spreading Love Through the World,Win at least 1 race against [[character|1134]],3
loves-only-you,Spreading Love Through the World,Win at least 1 race against [[character|1133]],4
loves-only-you,Spreading Love Through the World,Win at least 1 race against [[character|1130]],5
